epoch,accuracy,learning_rate,loss,top_k_categorical_accuracy,val_accuracy,val_loss,val_top_k_categorical_accuracy
0,0.09302325546741486,9.999999747378752e-05,3.8311455249786377,0.4883720874786377,0.12820513546466827,2.3170762062072754,0.6410256624221802
1,0.13953489065170288,9.999999747378752e-05,3.4198567867279053,0.5736433863639832,0.12820513546466827,2.233938455581665,0.692307710647583
2,0.1782945692539215,9.999999747378752e-05,3.2609102725982666,0.643410861492157,0.1538461595773697,2.1387195587158203,0.7179487347602844
3,0.1472868174314499,9.999999747378752e-05,3.3549842834472656,0.6124030947685242,0.20512820780277252,2.0142414569854736,0.8717948794364929
4,0.1550387591123581,9.999999747378752e-05,3.1075797080993652,0.604651153087616,0.25641027092933655,1.9042831659317017,0.8461538553237915
5,0.19379845261573792,9.999999747378752e-05,2.9993484020233154,0.7054263353347778,0.43589743971824646,1.7859381437301636,0.8461538553237915
6,0.20155039429664612,9.999999747378752e-05,2.552600383758545,0.7054263353347778,0.5128205418586731,1.6786203384399414,0.9230769276618958
7,0.302325576543808,9.999999747378752e-05,2.380354166030884,0.7364341020584106,0.5384615659713745,1.5518358945846558,0.8974359035491943
8,0.302325576543808,9.999999747378752e-05,2.3089797496795654,0.8294573426246643,0.5641025900840759,1.469473958015442,0.8974359035491943
9,0.3798449635505676,9.999999747378752e-05,2.203132390975952,0.7751938104629517,0.6153846383094788,1.3867439031600952,0.9487179517745972
10,0.3333333432674408,9.999999747378752e-05,2.242605447769165,0.7984496355056763,0.6410256624221802,1.3071112632751465,0.9230769276618958
11,0.2868216931819916,9.999999747378752e-05,2.2806143760681152,0.8062015771865845,0.692307710647583,1.2215964794158936,0.9487179517745972
12,0.341085284948349,9.999999747378752e-05,2.4019007682800293,0.7751938104629517,0.6666666865348816,1.15445077419281,0.9487179517745972
13,0.341085284948349,9.999999747378752e-05,2.2471611499786377,0.8217054009437561,0.692307710647583,1.072185754776001,0.9487179517745972
14,0.3798449635505676,9.999999747378752e-05,1.981716513633728,0.8759689927101135,0.692307710647583,1.0091071128845215,0.9487179517745972
15,0.38759690523147583,9.999999747378752e-05,1.9464671611785889,0.8604651093482971,0.6666666865348816,0.9741120934486389,0.9487179517745972
16,0.341085284948349,9.999999747378752e-05,2.225060224533081,0.8062015771865845,0.7179487347602844,0.9589689373970032,0.9487179517745972
17,0.42635658383369446,9.999999747378752e-05,1.8868041038513184,0.9147287011146545,0.7179487347602844,0.9471498131752014,0.9743589758872986
18,0.4961240291595459,9.999999747378752e-05,1.7961260080337524,0.8682170510292053,0.7435897588729858,0.9435086250305176,0.9487179517745972
19,0.42635658383369446,9.999999747378752e-05,1.846605896949768,0.8682170510292053,0.7179487347602844,0.8845387101173401,0.9743589758872986
20,0.4728682041168213,9.999999747378752e-05,1.6533855199813843,0.8914728760719299,0.7179487347602844,0.8760820031166077,0.9743589758872986
21,0.4651162922382355,9.999999747378752e-05,1.658088207244873,0.8837209343910217,0.7435897588729858,0.8376358151435852,1.0
22,0.5193798542022705,9.999999747378752e-05,1.7014555931091309,0.8837209343910217,0.7435897588729858,0.8246174454689026,1.0
23,0.45736435055732727,9.999999747378752e-05,1.618363380432129,0.8992248177528381,0.7435897588729858,0.8081192374229431,0.9743589758872986
24,0.5348837375640869,9.999999747378752e-05,1.5275750160217285,0.9069767594337463,0.7435897588729858,0.7995201349258423,0.9743589758872986
25,0.5503876209259033,9.999999747378752e-05,1.4963351488113403,0.8992248177528381,0.7948718070983887,0.8001248240470886,0.9743589758872986
26,0.5581395626068115,9.999999747378752e-05,1.552642583847046,0.8759689927101135,0.7692307829856873,0.7932449579238892,0.9743589758872986
27,0.5271317958831787,9.999999747378752e-05,1.4497469663619995,0.9224806427955627,0.7692307829856873,0.7858933806419373,0.9743589758872986
28,0.5348837375640869,9.999999747378752e-05,1.4142439365386963,0.9224806427955627,0.7948718070983887,0.7645497918128967,0.9743589758872986
29,0.5503876209259033,9.999999747378752e-05,1.3723788261413574,0.9224806427955627,0.7948718070983887,0.7325692772865295,0.9743589758872986
30,0.5348837375640869,9.999999747378752e-05,1.4720144271850586,0.9457364082336426,0.7692307829856873,0.7596002817153931,0.9743589758872986
31,0.6666666865348816,9.999999747378752e-05,1.1648041009902954,0.9379844665527344,0.7692307829856873,0.7694858312606812,0.9743589758872986
32,0.5581395626068115,9.999999747378752e-05,1.3262146711349487,0.930232584476471,0.7435897588729858,0.7793409824371338,0.9743589758872986
33,0.5968992114067078,9.999999747378752e-05,1.4890280961990356,0.9069767594337463,0.7692307829856873,0.7727760672569275,0.9743589758872986
34,0.5348837375640869,4.999999873689376e-05,1.4356496334075928,0.930232584476471,0.7692307829856873,0.7648960947990417,0.9743589758872986
35,0.5581395626068115,4.999999873689376e-05,1.3569283485412598,0.930232584476471,0.7692307829856873,0.770910918712616,0.9743589758872986
36,0.6511628031730652,4.999999873689376e-05,1.3188378810882568,0.9147287011146545,0.7692307829856873,0.761062502861023,0.9743589758872986
37,0.6201550364494324,4.999999873689376e-05,1.2803964614868164,0.961240291595459,0.7692307829856873,0.757232666015625,0.9743589758872986
38,0.6124030947685242,4.999999873689376e-05,1.1161425113677979,0.961240291595459,0.7692307829856873,0.7667996287345886,0.9743589758872986
39,0.5736433863639832,4.999999873689376e-05,1.3688827753067017,0.9457364082336426,0.7692307829856873,0.7575874328613281,0.9743589758872986
40,0.5426356792449951,4.999999873689376e-05,1.2126377820968628,0.9379844665527344,0.7692307829856873,0.7519903779029846,0.9743589758872986
41,0.5813953280448914,4.999999873689376e-05,1.4159902334213257,0.9379844665527344,0.7692307829856873,0.7494276165962219,0.9743589758872986
42,0.5891472697257996,2.499999936844688e-05,1.243765950202942,0.9457364082336426,0.7692307829856873,0.7543641924858093,0.9743589758872986
43,0.565891444683075,2.499999936844688e-05,1.2860007286071777,0.9379844665527344,0.7692307829856873,0.7482178807258606,0.9743589758872986
44,0.5503876209259033,2.499999936844688e-05,1.2390984296798706,0.9379844665527344,0.7435897588729858,0.7581385970115662,0.9743589758872986
45,0.5968992114067078,2.499999936844688e-05,1.2839982509613037,0.930232584476471,0.7435897588729858,0.744263768196106,0.9743589758872986
